pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,822.1996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,823.72125
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,828.55237
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,827.1422
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,822.40216
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,821.39526
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,821.39526
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,822.1854
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,827.00757
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,826.40845
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,821.67255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,822.1854
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,827.00757
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,827.1221
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,821.67255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,822.70294
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,829.92926
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,827.1221
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,821.67255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,820.66656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,822.70294
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,830.23755
